image,regions
002b94ef-e000-4e76-bc7e-7846166bc806.jpg,"[{""bbox"": [1403.27, 653.93, 2473.94, 856.29], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [557.99, 821.71, 3800.36, 1052.98], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [348.97, 4223.43, 2897.98, 4432.16], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [343.92, 1648.16, 3513.19, 1855.53], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [348.69, 1060.22, 3786.4, 1278.66], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [340.91, 3816.08, 3848.41, 4028.32], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [514.94, 1423.09, 3804.52, 1658.52], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [344.79, 2254.54, 3787.49, 2445.96], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [334.57, 3231.3, 3769.38, 3430.97], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [336.66, 1849.67, 3567.42, 2051.77], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [334.66, 2044.07, 3863.69, 2257.94], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [340.54, 3418.1, 3614.0, 3624.46], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [339.87, 2636.38, 3796.76, 2840.33], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [489.91, 4411.31, 3826.37, 4628.44], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [361.15, 4817.59, 3783.5, 5033.87], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [355.16, 2818.86, 3822.14, 3028.62], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [337.98, 3014.43, 3747.72, 3228.77], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [337.4, 4605.01, 3679.75, 4836.91], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [337.83, 3617.59, 3430.6, 3819.84], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [331.58, 4008.06, 3919.82, 4226.64], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [345.43, 2430.51, 3773.6, 2632.82], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [678.55, 427.99, 3487.55, 670.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [318.79, 1275.08, 722.44, 1467.86], ""type"": ""handwritten"", ""text"": """"}]"
00829c22-1e80-4e13-a395-3f9d8b088f7d.jpg,"[{""bbox"": [308.63, 457.41, 2031.67, 590.75], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [538.2, 340.52, 2783.25, 485.13], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [829.35, 130.07, 1497.53, 275.69], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [249.43, 3131.65, 1454.83, 3251.52], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [245.31, 3366.03, 2680.42, 3498.28], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [226.92, 2775.28, 2720.6, 2902.41], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [258.5, 3483.77, 2796.3, 3622.18], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [250.84, 2311.24, 2832.86, 2432.27], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [235.59, 3008.17, 2641.56, 3135.3], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [235.7, 2893.31, 2632.32, 3022.13], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [499.69, 2077.04, 2584.84, 2208.67], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [394.15, 3243.22, 2814.28, 3374.76], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [537.38, 576.88, 2790.77, 685.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [262.01, 2417.03, 2833.94, 2546.43], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [280.98, 780.47, 2795.99, 903.24], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [284.42, 1201.24, 2788.48, 1320.77], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [283.07, 991.24, 2760.25, 1111.77], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [284.7, 1304.09, 2816.49, 1433.82], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [256.15, 2193.36, 2791.44, 2324.24], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [284.49, 1856.74, 2781.17, 1990.08], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [445.34, 1514.9, 2730.58, 1638.7], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291.24, 1095.66, 2781.8, 1216.04], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [298.38, 1628.91, 2754.95, 1754.03], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [253.18, 3606.91, 2559.5, 3741.57], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [283.26, 890.54, 2702.78, 1005.65], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [289.61, 1736.88, 2745.05, 1875.25], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [456.4, 2655.82, 2738.8, 2777.85], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [279.52, 1974.38, 1287.09, 2079.78], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [286.74, 677.57, 2797.78, 794.88], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [259.8, 2541.66, 2371.67, 2668.74], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [295.38, 1398.59, 505.01, 1503.6], ""type"": ""handwritten"", ""text"": """"}]"
00af1ec3-5315-4782-bc61-bf498617e5a2.jpg,"[{""bbox"": [60.57, 1400.02, 1606.83, 1519.05], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [412.28, 12.36, 1107.26, 115.41], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [320.39, 100.55, 892.38, 223.69], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [61.01, 1182.34, 1610.97, 1297.97], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [65.03, 739.26, 1588.24, 863.19], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [45.63, 1952.12, 1532.93, 2077.17], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [56.19, 425.27, 423.74, 538.04], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [132.48, 219.1, 1608.74, 328.0], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [63.75, 1510.28, 1468.29, 1628.94], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [59.56, 1619.54, 1590.68, 1746.58], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [121.18, 530.93, 1608.67, 642.3], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [61.03, 962.85, 1619.46, 1078.7], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [114.44, 1833.64, 1536.02, 1962.03], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [47.03, 318.01, 1510.89, 442.35], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [61.59, 856.32, 1524.76, 972.58], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [54.54, 1068.36, 1424.61, 1182.37], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [52.4, 2069.15, 1624.22, 2201.13], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [61.73, 1727.62, 237.28, 1827.93], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [52.07, 638.51, 1565.29, 746.42], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [61.74, 1284.72, 1596.37, 1407.8], ""type"": ""handwritten"", ""text"": """"}]"
010c6dad-2f5d-4e4c-802b-f978a7e1998b.jpg,"[{""bbox"": [1129.21, 1197.49, 3984.47, 1499.72], ""type"": ""formula"", ""text"": """"}, {""bbox"": [878.91, 6480.32, 3801.15, 6832.33], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1008.42, 8362.86, 2427.32, 8640.31], ""type"": ""formula"", ""text"": """"}, {""bbox"": [379.34, 2960.45, 2522.17, 3650.93], ""type"": ""formula"", ""text"": """"}, {""bbox"": [732.52, 6845.82, 3583.01, 7208.95], ""type"": ""formula"", ""text"": """"}, {""bbox"": [704.41, 3672.32, 2823.45, 4058.05], ""type"": ""formula"", ""text"": """"}, {""bbox"": [943.7, 4789.71, 2647.14, 5174.75], ""type"": ""formula"", ""text"": """"}, {""bbox"": [628.38, 4284.69, 3586.9, 4793.34], ""type"": ""formula"", ""text"": """"}, {""bbox"": [913.38, 7631.96, 2640.58, 7986.83], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1156.9, 653.75, 2972.91, 988.77], ""type"": ""formula"", ""text"": """"}, {""bbox"": [915.95, 7270.77, 2467.54, 7636.34], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1068.71, 2049.22, 3392.45, 2316.79], ""type"": ""formula"", ""text"": """"}, {""bbox"": [972.0, 5187.9, 3635.63, 5509.15], ""type"": ""formula"", ""text"": """"}, {""bbox"": [913.16, 1772.19, 3668.71, 2062.75], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1497.79, 2647.2, 3108.18, 2911.52], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1303.14, 943.38, 2431.25, 1206.19], ""type"": ""formula"", ""text"": """"}, {""bbox"": [416.82, 8024.9, 2860.16, 8380.5], ""type"": ""formula"", ""text"": """"}, {""bbox"": [2319.76, 6004.06, 5848.75, 6430.1], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1134.67, 8844.24, 2754.46, 9119.26], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1731.99, 5493.28, 2707.88, 5711.36], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [542.66, 110.55, 3896.96, 504.61], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1221.92, 2313.51, 3842.75, 2632.2], ""type"": ""formula"", ""text"": """"}, {""bbox"": [813.74, 4004.73, 2967.78, 4345.61], ""type"": ""formula"", ""text"": """"}, {""bbox"": [917.52, 6108.49, 2047.14, 6468.6], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1083.23, 8611.85, 2840.38, 8881.55], ""type"": ""formula"", ""text"": """"}, {""bbox"": [340.06, 5517.11, 1833.43, 6121.92], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1656.41, 441.98, 2451.66, 697.28], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1221.92, 2313.51, 3842.75, 2632.2], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [1087.83, 1507.71, 4497.21, 1812.32], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1188.79, 9079.26, 4912.67, 9337.75], ""type"": ""formula"", ""text"": """"}, {""bbox"": [2867.81, 7454.99, 3867.16, 7714.71], ""type"": ""formula"", ""text"": """"}]"
011934b4-d919-5000-8c1e-39f96daeba68.jpg,"[{""bbox"": [4.92, 1458.04, 1182.35, 1580.77], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [473.48, 814.99, 1151.04, 946.54], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [46.24, 1930.21, 1296.89, 2061.73], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2.27, 1591.85, 1490.69, 1745.26], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2.91, 2469.34, 1810.66, 2614.19], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [0.0, 1763.62, 278.74, 1919.23], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [0.0, 2325.16, 255.59, 2474.24], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [12.02, 937.14, 209.91, 1026.5], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [1421.18, 2596.36, 1831.53, 2743.16], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1.18, 1258.56, 297.62, 1418.69], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [1.18, 1258.56, 297.62, 1418.69], ""type"": ""formula"", ""text"": """"}, {""bbox"": [1025.43, 1139.99, 1354.31, 1262.82], ""type"": ""handwritten"", ""text"": """"}]"
012bfc6a-e224-58a6-8b72-b24159292c64.jpg,"[{""bbox"": [506.4, 2508.1, 2450.2, 2661.07], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [1153.13, 832.69, 2344.43, 992.5], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [475.53, 3111.2, 2378.27, 3274.1], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [497.92, 2933.34, 2531.88, 3125.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [503.05, 1920.74, 1251.96, 2051.78], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [473.6, 3250.02, 2456.89, 3424.94], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [511.25, 2652.15, 2295.37, 2806.61], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [531.97, 2339.95, 2431.67, 2520.89], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [519.21, 1764.14, 1719.42, 1890.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [515.06, 2183.82, 2291.22, 2372.11], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [482.02, 2798.58, 2535.28, 2956.54], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [546.8, 1209.21, 713.57, 1325.44], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [506.41, 2059.33, 1833.53, 2179.96], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [536.47, 1493.37, 704.05, 1606.21], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [566.11, 962.29, 700.4, 1051.53], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [606.76, 4.08, 1288.56, 670.98], ""type"": ""graph"", ""text"": """"}, {""bbox"": [535.45, 1647.83, 708.33, 1735.57], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [548.33, 1092.79, 712.73, 1182.92], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [0.18, 278.01, 259.09, 675.26], ""type"": ""image"", ""text"": """"}]"
01b6409c-9e0f-4b10-b79d-61c548d999c8.jpg,"[{""bbox"": [175.71, 1302.05, 2064.48, 1427.07], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [151.34, 353.0, 2057.29, 474.54], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [149.63, 251.12, 1893.37, 366.78], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [161.31, 562.36, 2058.88, 704.21], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [177.39, 1413.13, 1688.34, 1523.52], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [187.64, 1822.17, 2034.89, 1943.48], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [167.96, 1193.75, 2070.11, 1319.37], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [155.97, 459.86, 2039.61, 579.13], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [165.08, 986.43, 2066.95, 1110.32], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [183.45, 1931.09, 2085.71, 2074.73], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [374.39, 1510.34, 2069.5, 1630.0], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [180.43, 1716.73, 2103.83, 1835.69], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [192.16, 2047.9, 407.29, 2181.16], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [197.26, 1612.88, 2085.62, 1728.83], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [164.25, 769.08, 1816.94, 908.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [159.57, 673.6, 2043.96, 799.0], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [329.36, 881.37, 2062.72, 1004.55], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [170.74, 1094.11, 1893.53, 1227.92], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [287.91, 102.22, 2039.62, 256.42], ""type"": ""handwritten"", ""text"": """"}]"
01e7254a-cda3-4e9f-82ae-f0db5e3ec0a3.jpg,"[{""bbox"": [246.37, 1640.59, 2726.38, 1826.82], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [168.08, 148.31, 2498.2, 341.18], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [133.71, 2261.41, 1914.94, 2441.09], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [115.61, 1359.52, 2715.9, 1536.11], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [122.11, 2099.74, 2585.57, 2282.93], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [101.36, 1951.87, 2526.32, 2113.8], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [112.37, 1807.25, 2562.43, 1973.38], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [144.79, 1054.24, 2376.74, 1230.03], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [183.2, 481.81, 2688.74, 675.86], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [22.39, 763.46, 2663.93, 940.28], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [165.79, 623.14, 1029.12, 760.76], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [178.13, 303.66, 2681.23, 515.16], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [131.39, 1505.33, 928.47, 1656.2], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [141.98, 1215.23, 2720.13, 1392.36], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [170.79, 915.06, 2712.48, 1106.58], ""type"": ""handwritten"", ""text"": """"}]"
0202d8d0-d9a3-4d25-a041-90f5720f3f51.jpg,"[{""bbox"": [187.02, 68.44, 497.77, 121.89], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [202.55, 16.0, 400.3, 75.88], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [4.65, 421.33, 790.63, 468.24], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [66.05, 979.78, 810.87, 1078.64], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [67.89, 722.18, 803.04, 772.88], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [7.14, 637.29, 759.36, 688.67], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2.32, 329.52, 787.78, 384.78], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [5.97, 593.42, 796.35, 640.2], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [3.77, 809.91, 805.33, 860.95], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [13.49, 899.56, 812.8, 961.55], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [4.67, 462.42, 786.48, 511.29], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [93.01, 104.7, 767.87, 173.2], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [5.53, 508.33, 791.99, 554.27], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [5.08, 376.4, 788.73, 428.07], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2.49, 686.17, 234.71, 728.39], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2.26, 186.69, 197.29, 242.75], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [4.79, 284.36, 783.56, 339.57], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [4.56, 551.97, 793.99, 598.61], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [13.4, 856.6, 810.34, 910.09], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [1.5, 153.16, 761.83, 220.35], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [73.84, 239.8, 784.4, 297.23], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [5.06, 765.92, 802.01, 814.83], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [3.6, 962.44, 226.84, 1005.08], ""type"": ""handwritten"", ""text"": """"}]"
0207523a-9012-42d9-9533-e960eae7f4e0.jpg,"[{""bbox"": [898.65, 740.09, 1858.72, 941.92], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317.84, 1989.71, 2373.85, 2163.1], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [232.3, 3414.69, 2667.57, 3595.41], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [323.55, 2345.93, 2742.2, 2493.19], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [320.79, 2869.82, 2681.98, 3038.25], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [323.6, 1607.87, 2391.68, 1818.61], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [333.94, 1804.58, 2521.96, 1988.15], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [258.23, 3576.22, 2636.07, 3760.25], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [511.02, 927.26, 2504.22, 1120.08], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [287.27, 3244.76, 2675.14, 3399.04], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [319.03, 2520.74, 2642.7, 2678.89], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [353.64, 2149.75, 2389.66, 2326.19], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [348.96, 1254.21, 2505.81, 1457.96], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [312.68, 3026.56, 2764.23, 3223.99], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [344.99, 1446.71, 2524.48, 1633.61], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [309.09, 2727.95, 2419.72, 2835.67], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [2225.72, 118.57, 2462.86, 197.87], ""type"": ""annotation"", ""text"": """"}, {""bbox"": [1155.61, 197.14, 1950.85, 372.36], ""type"": ""printed"", ""text"": """"}, {""bbox"": [441.0, 548.37, 2677.74, 786.46], ""type"": ""printed"", ""text"": """"}, {""bbox"": [343.26, 1096.51, 2507.95, 1288.68], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [825.05, 377.51, 2283.78, 567.65], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [6.78, 56.76, 339.77, 1656.52], ""type"": ""image"", ""text"": """"}]"
