image,regions
c7f47b50-f77b-419f-9e95-029d0b5e106e.jpg,"[{""bbox"": [230, 262, 451, 327], ""type"": ""handwritten"", ""text"": ""У.І.Г.""}, {""bbox"": [78, 346, 497, 431], ""type"": ""handwritten"", ""text"": ""Відділ""}, {""bbox"": [0, 453, 977, 538], ""type"": ""handwritten"", ""text"": ""Народознавства""}, {""bbox"": [109, 594, 926, 691], ""type"": ""handwritten"", ""text"": ""дня 18. травня 1920 р.""}, {""bbox"": [604, 892, 2360, 1014], ""type"": ""handwritten"", ""text"": ""До Знабаланто в. М. Ю. Шаткіна""}, {""bbox"": [1555, 1062, 1936, 1145], ""type"": ""handwritten"", ""text"": ""в Цразі""}, {""bbox"": [329, 1305, 2312, 1407], ""type"": ""handwritten"", ""text"": ""Відділ Народознавства Укр. Інституту Промадознавства""}, {""bbox"": [269, 1419, 2380, 1508], ""type"": ""handwritten"", ""text"": ""просить вас відвідати виклад п. О. Стефановича""}, {""bbox"": [269, 1533, 2284, 1630], ""type"": ""handwritten"", ""text"": ""на тему: \""Генеза поетичної творчості А. Метлинського\""""}, {""bbox"": [329, 1705, 2411, 1807], ""type"": ""handwritten"", ""text"": ""Виклад відбудеться в науково-методологічному семінарі""}, {""bbox"": [269, 1817, 2284, 1918], ""type"": ""handwritten"", ""text"": ""відділу у середу дня 28 травня бр. о год. 4. попол. в""}, {""bbox"": [269, 1931, 1043, 2018], ""type"": ""handwritten"", ""text"": ""помешканню інституту.""}, {""bbox"": [1370, 2037, 1809, 2115], ""type"": ""handwritten"", ""text"": ""З поважанням""}, {""bbox"": [329, 2134, 933, 2219], ""type"": ""handwritten"", ""text"": ""Директор відділу""}, {""bbox"": [269, 2231, 1124, 2319], ""type"": ""handwritten"", ""text"": ""проф. Л. Білецький /вр/""}, {""bbox"": [2177, 140, 2355, 303], ""type"": ""handwritten"", ""text"": ""180""}]"
7a57be4d-b57a-428b-b271-d142f87d9173.jpg,"[{""bbox"": [133, 141, 328, 207], ""type"": ""handwritten"", ""text"": ""У.І.Г.""}, {""bbox"": [0, 224, 664, 296], ""type"": ""handwritten"", ""text"": ""Відділ Наародознавства""}, {""bbox"": [0, 311, 588, 388], ""type"": ""handwritten"", ""text"": ""Педагогічна секція""}, {""bbox"": [0, 398, 588, 473], ""type"": ""handwritten"", ""text"": ""дня 6. червня 1928.""}, {""bbox"": [904, 431, 2021, 512], ""type"": ""handwritten"", ""text"": ""До Вп.п. М.І. Галявзала.""}, {""bbox"": [487, 603, 2206, 684], ""type"": ""handwritten"", ""text"": ""У п'ятницю дня 8. червня о год. 3 1/2 попол. в помешканню""}, {""bbox"": [411, 684, 2370, 767], ""type"": ""handwritten"", ""text"": ""Укр.Інст. Громадознавства відбудеться відкриття Педаго-""}, {""bbox"": [411, 767, 2375, 850], ""type"": ""handwritten"", ""text"": ""гічного Семінара при Педагогічній секції Відділу Наро-""}, {""bbox"": [411, 850, 1129, 933], ""type"": ""handwritten"", ""text"": ""дознавства. Програма:""}, {""bbox"": [1043, 933, 2223, 1016], ""type"": ""handwritten"", ""text"": ""1. Вступне слово - проф. Л. Білецький.""}, {""bbox"": [1043, 1016, 2122, 1099], ""type"": ""handwritten"", ""text"": ""2. Виклад проф. С. Русової на тему:""}, {""bbox"": [1043, 1099, 2054, 1182], ""type"": ""handwritten"", ""text"": ""\""Що таке соціальна педагогіка\""""}, {""bbox"": [411, 1182, 2332, 1265], ""type"": ""handwritten"", ""text"": ""Повідомляючи Вас про це просимо відвідати відкриття семінара.""}, {""bbox"": [1359, 1265, 1814, 1328], ""type"": ""handwritten"", ""text"": ""З поважанням""}, {""bbox"": [1076, 1328, 1624, 1390], ""type"": ""handwritten"", ""text"": ""Керовник семінара""}, {""bbox"": [1263, 1390, 2011, 1452], ""type"": ""handwritten"", ""text"": ""проф. С. Русова (в.р.)""}]"
a54bea3f-86b5-42f9-802d-46a818434a8c.jpg,"[{""bbox"": [33, 88, 886, 148], ""type"": ""printed"", ""text"": ""УКРАЇНСЬКИЙ КОМІТЕТ В Ч.С.Р.""}, {""bbox"": [33, 171, 886, 231], ""type"": ""printed"", ""text"": ""UKRAJINSKÝ KOMITÉT V Č. S. R.""}, {""bbox"": [149, 241, 755, 295], ""type"": ""printed"", ""text"": ""PRAHA II, KRAKOVSKÁ 10/V.""}, {""bbox"": [1497, 99, 2289, 206], ""type"": ""handwritten"", ""text"": ""I жовтня 1927 року.""}, {""bbox"": [1005, 241, 2265, 324], ""type"": ""handwritten"", ""text"": ""До члена Українського Комітету ВП""}, {""bbox"": [1005, 324, 1766, 413], ""type"": ""handwritten"", ""text"": ""п. М. Мановського""}, {""bbox"": [175, 488, 446, 558], ""type"": ""handwritten"", ""text"": ""ч. 1943.""}, {""bbox"": [518, 636, 2319, 727], ""type"": ""handwritten"", ""text"": ""Управа Українського Комітету ласкаво просить Вас""}, {""bbox"": [244, 727, 2289, 818], ""type"": ""handwritten"", ""text"": ""приошити на Загальні Збори членів Українського Комітету""}, {""bbox"": [244, 818, 2305, 909], ""type"": ""handwritten"", ""text"": ""які мають відбутися 8 цього жовтня о 2 годині по полудні""}, {""bbox"": [244, 909, 2362, 1000], ""type"": ""handwritten"", ""text"": ""в помешканні Černý pivovar, Praha II, Karlovo n. /spolk.místa/""}, {""bbox"": [886, 1091, 1480, 1162], ""type"": ""handwritten"", ""text"": ""Норядок денний:""}, {""bbox"": [244, 1182, 1124, 1253], ""type"": ""handwritten"", ""text"": ""1/ прийом нових членів.""}, {""bbox"": [244, 1253, 1504, 1323], ""type"": ""handwritten"", ""text"": ""2/ Довибір членів Управи Комітету""}, {""bbox"": [244, 1323, 2362, 1393], ""type"": ""handwritten"", ""text"": ""3/ Доклад про сучасне становище Комітету 1 його майбутня""}, {""bbox"": [244, 1393, 587, 1464], ""type"": ""handwritten"", ""text"": ""праця.""}, {""bbox"": [244, 1464, 1694, 1534], ""type"": ""handwritten"", ""text"": ""4/ Організація Ощадно-позичкової каси.""}, {""bbox"": [244, 1534, 886, 1604], ""type"": ""handwritten"", ""text"": ""5/ Відчучі справи.""}, {""bbox"": [969, 1604, 1592, 1675], ""type"": ""handwritten"", ""text"": ""З пошаною""}, {""bbox"": [1354, 1675, 1951, 1745], ""type"": ""handwritten"", ""text"": ""Управи Комітету.""}]"
0c3a5c00-b135-48c0-9f46-a3d152c68e2e.jpg,"[{""bbox"": [595, 237, 861, 329], ""type"": ""handwritten"", ""text"": ""Відозва.""}, {""bbox"": [888, 329, 1528, 427], ""type"": ""handwritten"", ""text"": ""до 13. МФ-ів сівких""}, {""bbox"": [1110, 421, 1554, 510], ""type"": ""handwritten"", ""text"": ""Шапозала""}, {""bbox"": [399, 510, 1776, 615], ""type"": ""handwritten"", ""text"": ""21. ІІІ. 1927 року помер на вигнанні український видатний уче-""}, {""bbox"": [399, 592, 1776, 691], ""type"": ""handwritten"", ""text"": ""ний професор Володимир Коваль — агроном-машиноознавець та ко-""}, {""bbox"": [399, 674, 1776, 773], ""type"": ""handwritten"", ""text"": ""оператор-сільськогосподарник.""}, {""bbox"": [399, 757, 1776, 855], ""type"": ""handwritten"", ""text"": ""В шлях вшанування пам’яті небіжчика 19. ІІІ. 1928 р. ніжкепід-""}, {""bbox"": [399, 839, 1776, 938], ""type"": ""handwritten"", ""text"": ""писані організації та особи заложили „Комітет для вшанування пам-""}, {""bbox"": [399, 921, 1776, 1020], ""type"": ""handwritten"", ""text"": ""яті проф. Володимира Ковала“.""}, {""bbox"": [399, 1004, 1776, 1102], ""type"": ""handwritten"", ""text"": ""Для здійснення свого завдання Комітет має брати про:""}, {""bbox"": [399, 1086, 1776, 1185], ""type"": ""handwritten"", ""text"": ""а) збирання матеріалів з життя та діяльності небіжчика, відповідно їх упо-""}, {""bbox"": [399, 1168, 1776, 1267], ""type"": ""handwritten"", ""text"": ""рядковання та опубліковання ;""}, {""bbox"": [399, 1250, 1776, 1349], ""type"": ""handwritten"", ""text"": ""б) вивчення та розташування літературних праць небіжчика, як по спеці-""}, {""bbox"": [399, 1333, 1776, 1432], ""type"": ""handwritten"", ""text"": ""альним, так і по загальним питанням, підготовку їх до друку та опуб-""}, {""bbox"": [399, 1415, 1776, 1514], ""type"": ""handwritten"", ""text"": ""лікування ;""}, {""bbox"": [399, 1497, 1776, 1596], ""type"": ""handwritten"", ""text"": ""в) визначення ролі небіжчика як ученого та практичного діяча в сфері""}, {""bbox"": [399, 1580, 1776, 1678], ""type"": ""handwritten"", ""text"": ""сільського господарства та кооперації ;""}, {""bbox"": [399, 1662, 1776, 1761], ""type"": ""handwritten"", ""text"": ""г) упорядкування можливостей небіжчика та ліквідацію рахунків, зв'язаних з""}, {""bbox"": [399, 1744, 1776, 1843], ""type"": ""handwritten"", ""text"": ""його похоронами ;""}, {""bbox"": [399, 1827, 1776, 1925], ""type"": ""handwritten"", ""text"": ""д) перевід на Україну тлінних останків небіжчика, коли для того ска-""}, {""bbox"": [399, 1909, 1776, 2008], ""type"": ""handwritten"", ""text"": ""дується відповідні обставини ;""}, {""bbox"": [399, 1991, 1776, 2090], ""type"": ""handwritten"", ""text"": ""е) переведення всього іншої роботи, зв'язаної з основним завданням Ко-""}, {""bbox"": [399, 2073, 1776, 2172], ""type"": ""handwritten"", ""text"": ""мітету.""}, {""bbox"": [399, 2156, 1776, 2255], ""type"": ""handwritten"", ""text"": ""Повідомляючи про це Вас, презідія загальних Зборів Комітету""}, {""bbox"": [399, 2238, 1776, 2337], ""type"": ""handwritten"", ""text"": ""звертається до Вас з проханням вступити в склад членів Комітету.""}, {""bbox"": [399, 2320, 1776, 2419], ""type"": ""handwritten"", ""text"": ""Наколи 6 питань про вступ було б розв'язано Вам негативно, звертаємося до Вас з проханням внести добровільний даток у „Фонд""}, {""bbox"": [399, 2403, 1776, 2501], ""type"": ""handwritten"", ""text"": ""для вшанування пам’яті проф. В. Ковала“, надіславши його на ад-""}, {""bbox"": [399, 2485, 1776, 2584], ""type"": ""handwritten"", ""text"": ""ресу: М.А.Тіскі, Матанівка, від 6. ІІІ. 1923. Крім того""}, {""bbox"": [399, 2567, 1776, 2666], ""type"": ""handwritten"", ""text"": ""Одночасно повідомляємо, що загальні збори Комітету для оста-""}, {""bbox"": [399, 2650, 1776, 2748], ""type"": ""handwritten"", ""text"": ""точного його конструювання призначено на 20. IV. 1928 р. в Подеб-""}, {""bbox"": [399, 2732, 1776, 2831], ""type"": ""handwritten"", ""text"": ""радах, на 2 г. дня в Кабінеті Загального Хліборобства (замок, кім-""}, {""bbox"": [399, 2814, 1776, 2913], ""type"": ""handwritten"", ""text"": ""ната ч. 19).""}, {""bbox"": [399, 2896, 1776, 2995], ""type"": ""handwritten"", ""text"": ""Сподідаючись на прихильне з Вашого боку ставлення до заін-""}, {""bbox"": [399, 2979, 1776, 3078], ""type"": ""handwritten"", ""text"": ""ційованої нами справи залишаємося з правдивою до Вас пошаною.""}, {""bbox"": [399, 3061, 1776, 3160], ""type"": ""handwritten"", ""text"": ""Голова Загальних зборів Комітету для вшанування пам’яті""}, {""bbox"": [399, 3143, 1776, 3242], ""type"": ""handwritten"", ""text"": ""проф. В. Ковала Вікт. Доманіцький.""}, {""bbox"": [549, 2989, 2221, 3081], ""type"": ""handwritten"", ""text"": ""Секретар зборів В. Дрикалович.""}, {""bbox"": [549, 3066, 2221, 3157], ""type"": ""handwritten"", ""text"": ""Фундатори: За себе персонально проф. К. Мацівчук.""}, {""bbox"": [549, 3142, 2221, 3234], ""type"": ""handwritten"", ""text"": ""лектор В. Доманіцький.""}, {""bbox"": [549, 3218, 2221, 3292], ""type"": ""handwritten"", ""text"": ""За В-во „Кооперативний фонд ім. Василя Доманіцького“""}, {""bbox"": [549, 3295, 2221, 3292], ""type"": ""handwritten"", ""text"": ""Микола Литвінський.""}, {""bbox"": [549, 3371, 2221, 3292], ""type"": ""handwritten"", ""text"": ""„Ощ-поз. т-во „Гдність“ В. Дрикалович.""}, {""bbox"": [549, 3447, 2221, 3292], ""type"": ""handwritten"", ""text"": ""„Спож. т-во „Україна“ Я. Шабельський.""}, {""bbox"": [549, 3523, 2221, 3292], ""type"": ""handwritten"", ""text"": ""„Агрономічне т-во при УГА“ Л. Рибак.""}, {""bbox"": [549, 3600, 2221, 3292], ""type"": ""handwritten"", ""text"": ""„В-во „Вільна Спілка“ Б. Залевський.""}, {""bbox"": [549, 3676, 2221, 3292], ""type"": ""handwritten"", ""text"": ""Подебради-Лазне. 23. ІІІ. 1928 р.""}, {""bbox"": [549, 3752, 2221, 3292], ""type"": ""handwritten"", ""text"": ""Зразок. (заява про вступ).""}, {""bbox"": [549, 3828, 2221, 3292], ""type"": ""handwritten"", ""text"": ""До Управи Комітету для вшанування пам’яті проф. Володимира Ковала""}, {""bbox"": [549, 3905, 2221, 3292], ""type"": ""handwritten"", ""text"": ""Пріймаючи статут Комітету для вшанування пам’яті проф. Володимира""}, {""bbox"": [549, 3981, 2221, 3292], ""type"": ""handwritten"", ""text"": ""Ковала, цим зголошую свій вступ в склад членів зазначеного Комітету з""}, {""bbox"": [549, 4057, 2221, 3292], ""type"": ""handwritten"", ""text"": ""добровільним внеском в сумі""}, {""bbox"": [549, 4134, 2221, 3292], ""type"": ""handwritten"", ""text"": ""(Дата)""}, {""bbox"": [549, 4210, 2221, 3292], ""type"": ""handwritten"", ""text"": ""(точна адреса)""}, {""bbox"": [549, 4286, 2221, 3292], ""type"": ""handwritten"", ""text"": ""(підпис)""}]"
a3a2c459-f895-4f74-825b-2cb11cc0c8c5.jpg,"[{""bbox"": [1105, 552, 2704, 692], ""type"": ""handwritten"", ""text"": ""ронившіся у маєтку Несвітевича (де мі-""}, {""bbox"": [1142, 692, 2704, 832], ""type"": ""handwritten"", ""text"": ""стилась камера мирового судді. З участка""}, {""bbox"": [1142, 832, 2704, 973], ""type"": ""handwritten"", ""text"": ""Бахмутського повіту, котрого Бенедиктович""}, {""bbox"": [1142, 973, 2704, 1113], ""type"": ""handwritten"", ""text"": ""у те зремя заміняв), були покрадені, боль-""}, {""bbox"": [1142, 1113, 2704, 1253], ""type"": ""handwritten"", ""text"": ""шовиками при розгромі того маєтка.""}, {""bbox"": [1142, 1253, 2704, 1394], ""type"": ""handwritten"", ""text"": ""З огляду на ці данні, зовсім відсто-""}, {""bbox"": [1142, 1394, 2704, 1534], ""type"": ""handwritten"", ""text"": ""роняється та перешкода, котра у вищезга-""}, {""bbox"": [1142, 1534, 2704, 1674], ""type"": ""handwritten"", ""text"": ""даному відношенні моїм під № 337 була""}, {""bbox"": [1142, 1674, 2704, 1815], ""type"": ""handwritten"", ""text"": ""зазначена мною для призначення Бенедикто-""}, {""bbox"": [1142, 1815, 2704, 1955], ""type"": ""handwritten"", ""text"": ""вича мировим суддею у Бахмутську судово-""}, {""bbox"": [1142, 1955, 2704, 2095], ""type"": ""handwritten"", ""text"": ""мирову округу.""}, {""bbox"": [1142, 2095, 2704, 2236], ""type"": ""handwritten"", ""text"": ""Прикладається копія формулярного""}, {""bbox"": [1142, 2236, 2704, 2376], ""type"": ""handwritten"", ""text"": ""списку про службу Бенедиктовича.""}, {""bbox"": [1257, 2376, 2132, 2516], ""type"": ""handwritten"", ""text"": ""Старший Председатель""}, {""bbox"": [1608, 2867, 2034, 3007], ""type"": ""handwritten"", ""text"": ""Секретарь""}]"
7c4f5130-ca60-48c7-85e4-096c8de64ed2.jpg,"[{""bbox"": [940, 51, 1015, 82], ""type"": ""handwritten"", ""text"": ""№3""}, {""bbox"": [141, 109, 546, 155], ""type"": ""handwritten"", ""text"": ""Торговля з єврейської мови.""}, {""bbox"": [811, 106, 1015, 146], ""type"": ""handwritten"", ""text"": ""Коні з квітів.""}, {""bbox"": [251, 216, 892, 274], ""type"": ""handwritten"", ""text"": ""До Міністерства єврейських справ.""}, {""bbox"": [418, 320, 636, 366], ""type"": ""handwritten"", ""text"": ""Прахання""}, {""bbox"": [500, 421, 860, 467], ""type"": ""handwritten"", ""text"": ""Департамент єврейської""}, {""bbox"": [509, 474, 892, 522], ""type"": ""handwritten"", ""text"": ""єврейської Урядовій Раді.""}, {""bbox"": [182, 564, 1035, 622], ""type"": ""handwritten"", ""text"": ""Праханням Міністерства єврейських справ від""}, {""bbox"": [141, 622, 1035, 677], ""type"": ""handwritten"", ""text"": ""від нашого містечка 25.000 карбованців копійського""}, {""bbox"": [141, 677, 1035, 732], ""type"": ""handwritten"", ""text"": ""гід. Нам укрута не відділ від відділу, від нашого""}, {""bbox"": [141, 732, 1035, 787], ""type"": ""handwritten"", ""text"": ""розпорядження відділу зі східної Міністерства, від""}, {""bbox"": [141, 787, 1035, 842], ""type"": ""handwritten"", ""text"": ""нашої зміни містечка. Вони вже нафу дійсно мають""}, {""bbox"": [141, 842, 1035, 897], ""type"": ""handwritten"", ""text"": ""забільшити в м. Гані, їх відділ і відділ і відділ""}, {""bbox"": [141, 897, 1035, 952], ""type"": ""handwritten"", ""text"": ""надійшов відділ єврейських справ Міністерства""}, {""bbox"": [141, 952, 1035, 1007], ""type"": ""handwritten"", ""text"": ""нашої зміни містечка. Відділ відділ зміни містечка, від""}, {""bbox"": [141, 1007, 1035, 1062], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1062, 1035, 1117], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1117, 1035, 1172], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1172, 1035, 1227], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1227, 1035, 1282], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1282, 1035, 1337], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1337, 1035, 1392], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1392, 1035, 1447], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1447, 1035, 1502], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1502, 1035, 1557], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1557, 1035, 1612], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1612, 1035, 1667], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1667, 1035, 1722], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1722, 1035, 1777], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}, {""bbox"": [141, 1777, 1035, 1832], ""type"": ""handwritten"", ""text"": ""відділ відділ зміни містечка, відділ відділ зміни містечка, від""}]"
99680234-73e0-4696-a6b1-44f884eb9dec.jpg,"[{""bbox"": [124, 103, 1062, 199], ""type"": ""handwritten"", ""text"": ""Мудка про Аркіпенка.""}, {""bbox"": [101, 199, 1456, 307], ""type"": ""handwritten"", ""text"": ""Рецензію про книжку Інтерналіка проти""}, {""bbox"": [89, 307, 1477, 413], ""type"": ""handwritten"", ""text"": ""повороту.""}, {""bbox"": [58, 396, 1477, 504], ""type"": ""handwritten"", ""text"": ""Що розкрадає дих старі, що є в не-""}, {""bbox"": [58, 480, 1477, 588], ""type"": ""handwritten"", ""text"": ""даканії МВ, про вже рази булив""}, {""bbox"": [58, 569, 1477, 677], ""type"": ""handwritten"", ""text"": ""і пропал повороту і все мені обіцяло.""}, {""bbox"": [89, 658, 1382, 766], ""type"": ""handwritten"", ""text"": ""Вли відліга. Муту сам відграфа.""}, {""bbox"": [165, 747, 1400, 855], ""type"": ""handwritten"", ""text"": ""Я вже тисав Вам - як що може-""}, {""bbox"": [58, 841, 1456, 949], ""type"": ""handwritten"", ""text"": ""до пришлідку мені вже видане з""}, {""bbox"": [58, 929, 1477, 1038], ""type"": ""handwritten"", ""text"": ""Інтерната для рецензії дінн. Бу-""}, {""bbox"": [58, 1018, 1477, 1127], ""type"": ""handwritten"", ""text"": ""мінше кого неможна дігра, або дуре""}, {""bbox"": [58, 1107, 1382, 1215], ""type"": ""handwritten"", ""text"": ""дорого. Проти дисера мені хову""}, {""bbox"": [58, 1201, 1509, 1309], ""type"": ""handwritten"", ""text"": ""книжку : Florian Zápletal : Поріжанка""}, {""bbox"": [58, 1290, 1382, 1398], ""type"": ""handwritten"", ""text"": ""зотимда. Волотоці 1923 року. Сю книжку""}, {""bbox"": [58, 1379, 1041, 1487], ""type"": ""handwritten"", ""text"": ""для розуміння була каштіно дігра.""}, {""bbox"": [525, 1492, 1155, 1600], ""type"": ""handwritten"", ""text"": ""Всього доброго!""}, {""bbox"": [479, 1600, 1400, 1708], ""type"": ""handwritten"", ""text"": ""Звіткого повен дівка""}, {""bbox"": [703, 1708, 1093, 1816], ""type"": ""handwritten"", ""text"": ""ВОО""}, {""bbox"": [141, 1816, 556, 1924], ""type"": ""handwritten"", ""text"": ""Мійті""}, {""bbox"": [89, 1924, 525, 2032], ""type"": ""handwritten"", ""text"": ""Замкова, 8""}]"
17fd976f-8a79-4d74-a066-61bdb02a3afb.jpg,"[{""bbox"": [244, 60, 484, 199], ""type"": ""handwritten"", ""text"": ""1902""}, {""bbox"": [516, 116, 987, 235], ""type"": ""handwritten"", ""text"": ""Київ 24-III-232""}, {""bbox"": [65, 187, 971, 315], ""type"": ""handwritten"", ""text"": ""Овідіарки тебе, хороша, що в""}, {""bbox"": [40, 275, 971, 398], ""type"": ""handwritten"", ""text"": ""дурке прифурчено, що ти так""}, {""bbox"": [45, 355, 987, 477], ""type"": ""handwritten"", ""text"": ""рептом закривалася \""відмін\"".""}, {""bbox"": [52, 438, 987, 557], ""type"": ""handwritten"", ""text"": ""Погано тільки, що в тебе""}, {""bbox"": [52, 514, 987, 637], ""type"": ""handwritten"", ""text"": ""ще заставляє гімназічний""}, {""bbox"": [52, 594, 987, 716], ""type"": ""handwritten"", ""text"": ""спосіб звертання до твоїх""}, {""bbox"": [52, 673, 987, 796], ""type"": ""handwritten"", ""text"": ""рішів з документами. Ко-""}, {""bbox"": [52, 753, 987, 876], ""type"": ""handwritten"", ""text"": ""ли ти хочеш цього допу-""}, {""bbox"": [52, 833, 987, 955], ""type"": ""handwritten"", ""text"": ""стини мені, ти необхідні-""}, {""bbox"": [52, 912, 987, 1035], ""type"": ""handwritten"", ""text"": ""но мусиш зарані навіть""}, {""bbox"": [52, 992, 987, 1115], ""type"": ""handwritten"", ""text"": ""сказати: \""ах ну, подивимо,,""}, {""bbox"": [52, 1072, 987, 1194], ""type"": ""handwritten"", ""text"": ""чи ти справжній товари-""}, {""bbox"": [52, 1151, 987, 1274], ""type"": ""handwritten"", ""text"": ""щін\"". Пора б, Каміре, заки-""}, {""bbox"": [52, 1231, 987, 1354], ""type"": ""handwritten"", ""text"": ""нути гімназію. Невже""}, {""bbox"": [52, 1311, 987, 1433], ""type"": ""handwritten"", ""text"": ""ти думаєш, що, не маючи""}, {""bbox"": [52, 1390, 987, 1513], ""type"": ""handwritten"", ""text"": ""змоги або не бажаючи""}]"
a5e31da0-5af9-490a-9940-4eb01af25b76.jpg,[]
fa4261aa-fe04-40d4-9204-94332941c598.jpg,"[{""bbox"": [71, 46, 1470, 121], ""type"": ""handwritten"", ""text"": ""Відповідно до відомих поняття: про поняття""}, {""bbox"": [71, 198, 1470, 276], ""type"": ""handwritten"", ""text"": ""- захід в державі передбачає інтерес в громади""}, {""bbox"": [71, 276, 1470, 353], ""type"": ""handwritten"", ""text"": ""держави напрацює - фр. та період. 2005""}, {""bbox"": [71, 353, 1603, 430], ""type"": ""handwritten"", ""text"": ""- розуміння та сприяння персонів, місцезнаходження, цільових""}, {""bbox"": [71, 430, 1139, 507], ""type"": ""handwritten"", ""text"": ""національних звідок, що держави""}, {""bbox"": [71, 507, 1603, 584], ""type"": ""handwritten"", ""text"": ""- дірація, захоплення інформації про державу""}, {""bbox"": [71, 584, 725, 661], ""type"": ""handwritten"", ""text"": ""перебування""}, {""bbox"": [71, 661, 725, 739], ""type"": ""handwritten"", ""text"": ""- відомо навчання, від""}, {""bbox"": [71, 739, 1603, 816], ""type"": ""handwritten"", ""text"": ""- відома професійна квартіра, зер. ресурсі, або""}, {""bbox"": [71, 816, 543, 893], ""type"": ""handwritten"", ""text"": ""чільний статус""}, {""bbox"": [71, 893, 1603, 970], ""type"": ""handwritten"", ""text"": ""- охорона інтересів громади - нар. та фр. 2005 держави, що""}, {""bbox"": [71, 970, 359, 1047], ""type"": ""handwritten"", ""text"": ""напрацює""}, {""bbox"": [71, 1047, 1603, 1125], ""type"": ""handwritten"", ""text"": ""III Ситуаційне завдання""}, {""bbox"": [71, 1125, 1603, 1202], ""type"": ""handwritten"", ""text"": ""Відповідно до відомих поняття та сило, що""}, {""bbox"": [71, 1202, 1603, 1279], ""type"": ""handwritten"", ""text"": ""відоме діяльність місцевих в середній стадії (відомі-""}, {""bbox"": [71, 1279, 874, 1356], ""type"": ""handwritten"", ""text"": ""відомі стадії) відомість діяльності""}, {""bbox"": [71, 1356, 874, 1433], ""type"": ""handwritten"", ""text"": ""відома, що не відомо""}]"
