image,regions
33331ef7-02fe-4d53-a1c2-19940d128b49.jpg,"[{""bbox"": [1249, 230, 1713, 337], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [794, 372, 1713, 479], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 498, 1713, 606], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 625, 1713, 732], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 751, 1713, 858], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 877, 1713, 984], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 1003, 1713, 1111], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 1130, 1713, 1237], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [812, 1262, 1713, 1370], ""type"": ""handwritten"", ""text"": """"}]"
1f7e87e1-0fe9-47a8-be81-ee4d109e74a0.jpg,"[{""bbox"": [78, 54, 1107, 160], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [86, 144, 1107, 224], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 208, 1107, 280], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 272, 1107, 336], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [86, 325, 1107, 400], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 384, 1107, 456], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 445, 1107, 517], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 504, 453, 571], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 560, 1107, 624], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 616, 1107, 680], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 672, 1107, 736], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 728, 1107, 800], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 784, 1107, 848], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 840, 1107, 904], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 896, 1107, 960], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [92, 952, 1107, 1016], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [0, 1008, 380, 1080], ""type"": ""handwritten"", ""text"": """"}]"
26db9d85-0974-483b-b53e-0a2cff4f30c5.jpg,"[{""bbox"": [1041, 416, 2086, 611], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [578, 628, 3654, 816], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 816, 3611, 1005], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [505, 1005, 3654, 1193], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 1193, 3397, 1382], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 1382, 3611, 1570], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 1570, 3555, 1759], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 1759, 3611, 1947], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 1947, 3611, 2136], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 2136, 3769, 2324], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 2324, 3769, 2513], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 2513, 3769, 2701], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 2701, 3769, 2890], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [505, 2890, 3654, 3078], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 3078, 3769, 3267], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 3267, 3611, 3455], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 3455, 3611, 3644], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 3644, 3769, 3832], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 3832, 856, 3992], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [505, 4021, 3855, 4209], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 4209, 3611, 4398], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 4398, 3697, 4586], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 4586, 3825, 4775], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 4775, 3611, 4963], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 4963, 2369, 5152], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [505, 5152, 3825, 5340], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 5340, 3825, 5529], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [291, 5529, 3825, 5706], ""type"": ""handwritten"", ""text"": """"}]"
3bc2244f-ea4a-4c1e-86bf-defa0f11402f.jpg,"[{""bbox"": [592, 190, 1118, 291], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [360, 270, 1366, 357], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [231, 339, 1361, 445], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [243, 403, 1135, 500], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [365, 463, 1332, 556], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [231, 530, 1358, 622], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [231, 592, 1256, 698], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [200, 657, 1264, 756], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [216, 721, 1347, 827], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [200, 786, 1358, 889], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [216, 852, 1366, 951], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [209, 917, 1378, 1016], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [216, 981, 1378, 1078], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [204, 1044, 1242, 1140], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [216, 1106, 1347, 1205], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [222, 1170, 1239, 1269], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [222, 1234, 1182, 1331], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [331, 1297, 1347, 1394], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [200, 1361, 1347, 1458], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [200, 1425, 1347, 1522], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [216, 1488, 1347, 1585], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [231, 1552, 1264, 1649], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [209, 1615, 1341, 1714], ""type"": ""handwritten"", ""text"": """"}]"
272b57f4-1fc7-4cf8-97af-7fe575fbf601.jpg,"[{""bbox"": [2004, 193, 2168, 262], ""type"": ""printed"", ""text"": """"}, {""bbox"": [2419, 193, 2609, 262], ""type"": ""printed"", ""text"": """"}, {""bbox"": [529, 326, 2803, 495], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 471, 2803, 645], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [680, 616, 2803, 794], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 766, 2803, 939], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 915, 2833, 1088], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 1064, 2803, 1233], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 1213, 2803, 1382], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 1362, 2803, 1532], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [529, 1512, 2803, 1681], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [598, 1661, 2924, 1830], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [468, 1814, 2803, 1983], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [468, 1963, 2803, 2132], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2112, 2803, 2282], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2261, 2803, 2431], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2419, 2564, 2588], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2568, 2803, 2737], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2717, 2803, 2886], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 2866, 2803, 3036], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 3015, 2803, 3185], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [414, 3165, 2803, 3334], ""type"": ""handwritten"", ""text"": """"}]"
c5b345be-9365-4caa-bf71-7c89fc6d48f0.jpg,"[{""bbox"": [913, 0, 1622, 189], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [680, 120, 1622, 338], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [336, 301, 2585, 498], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 498, 2585, 698], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 698, 2585, 898], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 898, 2585, 1098], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 1098, 2585, 1298], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 1298, 2585, 1498], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 1498, 2585, 1698], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [336, 1698, 2585, 1899], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 1899, 2585, 2099], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 2099, 2585, 2299], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 2299, 2585, 2499], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 2499, 2585, 2699], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [150, 2699, 2585, 2899], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [336, 2899, 2585, 3099], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 3099, 2585, 3299], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 3299, 2585, 3499], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [103, 3461, 2588, 3617], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [77, 3499, 2585, 3638], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [103, 3617, 2588, 3638], ""type"": ""handwritten"", ""text"": """"}]"
0bb6a86a-b5a1-4e68-97eb-a1f503c040d9.jpg,"[{""bbox"": [633, 166, 954, 238], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 238, 1543, 355], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 327, 1543, 444], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 416, 1543, 533], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 505, 1543, 622], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 594, 1543, 711], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 682, 1543, 799], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 771, 1543, 888], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 860, 1543, 977], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 949, 1543, 1066], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1038, 1543, 1155], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1127, 1543, 1244], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1216, 1543, 1333], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1305, 1543, 1422], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1394, 1543, 1510], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1482, 1543, 1599], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1571, 1543, 1688], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1660, 1543, 1777], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1749, 1543, 1866], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1838, 1543, 1955], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 1927, 1543, 2044], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 2016, 1543, 2133], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [317, 2105, 1543, 2222], ""type"": ""handwritten"", ""text"": """"}]"
27067f3f-09db-45ff-b654-1d183398076c.jpg,"[{""bbox"": [591, 100, 2511, 340], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [863, 272, 2214, 468], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 360, 2664, 592], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [354, 492, 1434, 688], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [174, 612, 2634, 848], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 732, 2634, 968], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 848, 2634, 1084], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 968, 2634, 1204], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1084, 2634, 1320], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1204, 2634, 1440], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1320, 2634, 1560], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1440, 2634, 1676], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1560, 1674, 1760], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1676, 2634, 1916], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1796, 2634, 2032], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 1916, 2634, 2152], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2032, 2634, 2268], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2152, 2634, 2388], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2268, 2634, 2504], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2388, 2634, 2624], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2504, 2634, 2740], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2624, 2634, 2860], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2740, 2634, 2976], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2860, 2634, 3096], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 2976, 2634, 3212], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3096, 2634, 3332], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3212, 2634, 3448], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3332, 2634, 3568], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3448, 2634, 3684], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3568, 2634, 3804], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3684, 2634, 3920], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3804, 2634, 4000], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [189, 3920, 2634, 4000], ""type"": ""handwritten"", ""text"": """"}]"
baa8fd98-2332-4390-944e-f0847409251f.jpg,"[{""bbox"": [641, 528, 1190, 633], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [324, 616, 1934, 725], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [222, 713, 850, 814], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [226, 806, 1934, 915], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 903, 1934, 1008], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 999, 1934, 1104], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1096, 1934, 1201], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1193, 1848, 1298], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1290, 1934, 1395], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1387, 1934, 1491], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1483, 1934, 1588], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1580, 1934, 1685], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1677, 850, 1782], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [492, 1774, 1871, 1878], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [226, 1870, 1934, 1975], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 1967, 1934, 2072], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2064, 1934, 2169], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2161, 1934, 2265], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2257, 1673, 2362], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [435, 2354, 1871, 2459], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2451, 1984, 2556], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2548, 1934, 2653], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [278, 2644, 1900, 2749], ""type"": ""handwritten"", ""text"": """"}]"
00829c22-1e80-4e13-a395-3f9d8b088f7d.jpg,"[{""bbox"": [819, 132, 1461, 272], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [510, 320, 2751, 480], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [501, 480, 2751, 640], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [501, 640, 2751, 800], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [501, 800, 2751, 960], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [501, 960, 2751, 1120], ""type"": ""handwritten"", ""text"": """"}, {""bbox"": [501, 1120, 2751, 1280], ""type"": ""handwritten"", ""text"": """"}]"
