rank,fold_name,model_name,image,level,suspicious_score,output_path,LabelError_PredError,LabelError_PredTrue,LabelTrue_PredError,LabelTrue_PredTrue,Mem,
3,fold_2,M13,1614ecfd-ea05-5d82-be19-f6d0993c76be.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0003_drop_0.800_1614ecfd-ea05-5d82-be19-f6d0993c76be.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
4,fold_2,M13,36c46c01-63d1-5a82-b2ca-66251f7321c1.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0004_drop_0.800_36c46c01-63d1-5a82-b2ca-66251f7321c1.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
5,fold_3,M12,827812d1-b543-57ea-826b-34b42917c1ed.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0005_drop_0.800_827812d1-b543-57ea-826b-34b42917c1ed.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
6,fold_3,M12,8e1d2944-2c77-52cc-a709-878ad9210cd8.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0006_drop_0.800_8e1d2944-2c77-52cc-a709-878ad9210cd8.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
8,fold_3,M12,a38096df-ee0d-54db-9503-1a3129fbd4e2.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0008_drop_0.800_a38096df-ee0d-54db-9503-1a3129fbd4e2.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
11,fold_2,M13,d555588e-0608-5fe1-85b1-b13a756bd9b7.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0011_drop_0.800_d555588e-0608-5fe1-85b1-b13a756bd9b7.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
12,fold_1,M23,edc27d96-f9d1-58d1-a747-33cd6ac3d0fc.jpg,drop,"0,8",outputs/oof_official_image_audit/review_image_pairs/0012_drop_0.800_edc27d96-f9d1-58d1-a747-33cd6ac3d0fc.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
19,fold_3,M12,adbf1ddc-647e-520c-94bd-f6774d940174.jpg,drop,"0,70625",outputs/oof_official_image_audit/review_image_pairs/0019_drop_0.706_adbf1ddc-647e-520c-94bd-f6774d940174.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
20,fold_3,M12,715d6eef-a244-5b97-9038-0a5f89c55781.jpg,drop,"0,7055555556",outputs/oof_official_image_audit/review_image_pairs/0020_drop_0.706_715d6eef-a244-5b97-9038-0a5f89c55781.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
23,fold_2,M13,290db653-6025-5726-a2cc-c2d72f4da361.jpg,drop,"0,6994023904",outputs/oof_official_image_audit/review_image_pairs/0023_drop_0.699_290db653-6025-5726-a2cc-c2d72f4da361.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
